#framenumber time energy filename iter
10 0.005 0 worm_000010.vtu 0
20 0.01 0 worm_000020.vtu 0
30 0.015 0 worm_000030.vtu 0
40 0.02 0 worm_000040.vtu 0
50 0.025 0 worm_000050.vtu 0
60 0.03 0 worm_000060.vtu 0
70 0.035 0 worm_000070.vtu 0
80 0.04 0 worm_000080.vtu 0
90 0.045 0 worm_000090.vtu 0
100 0.05 0 worm_000100.vtu 0
110 0.055 0 worm_000110.vtu 0
120 0.06 0 worm_000120.vtu 0
130 0.065 0 worm_000130.vtu 0
140 0.07 0 worm_000140.vtu 0
150 0.075 0 worm_000150.vtu 0
160 0.08 0 worm_000160.vtu 0
170 0.085 0 worm_000170.vtu 0
180 0.09 0 worm_000180.vtu 0
190 0.095 0 worm_000190.vtu 0
200 0.1 0 worm_000200.vtu 0
210 0.105 0 worm_000210.vtu 0
220 0.11 0 worm_000220.vtu 0
230 0.115 0 worm_000230.vtu 0
240 0.12 0 worm_000240.vtu 0
250 0.125 0 worm_000250.vtu 0
260 0.13 0 worm_000260.vtu 0
270 0.135 0 worm_000270.vtu 0
280 0.14 0 worm_000280.vtu 0
290 0.145 0 worm_000290.vtu 0
300 0.15 0 worm_000300.vtu 0
310 0.155 0 worm_000310.vtu 0
320 0.16 0 worm_000320.vtu 0
330 0.165 0 worm_000330.vtu 0
340 0.17 0 worm_000340.vtu 0
350 0.175 0 worm_000350.vtu 0
360 0.18 0 worm_000360.vtu 0
370 0.185 0 worm_000370.vtu 0
380 0.19 0 worm_000380.vtu 0
390 0.195 0 worm_000390.vtu 0
400 0.2 0 worm_000400.vtu 0
410 0.205 0 worm_000410.vtu 0
420 0.21 0 worm_000420.vtu 0
430 0.215 0 worm_000430.vtu 0
440 0.22 0 worm_000440.vtu 0
450 0.225 0 worm_000450.vtu 0
460 0.23 0 worm_000460.vtu 0
470 0.235 0 worm_000470.vtu 0
480 0.24 0 worm_000480.vtu 0
490 0.245 0 worm_000490.vtu 0
500 0.25 0 worm_000500.vtu 0
510 0.255 0 worm_000510.vtu 0
520 0.26 0 worm_000520.vtu 0
530 0.265 0 worm_000530.vtu 0
540 0.27 0 worm_000540.vtu 0
550 0.275 0 worm_000550.vtu 0
560 0.28 0 worm_000560.vtu 0
570 0.285 0 worm_000570.vtu 0
580 0.29 0 worm_000580.vtu 0
590 0.295 0 worm_000590.vtu 0
600 0.3 0 worm_000600.vtu 0
610 0.305 0 worm_000610.vtu 0
620 0.31 0 worm_000620.vtu 0
630 0.315 0 worm_000630.vtu 0
640 0.32 0 worm_000640.vtu 0
650 0.325 0 worm_000650.vtu 0
660 0.33 0 worm_000660.vtu 0
670 0.335 0 worm_000670.vtu 0
680 0.34 0 worm_000680.vtu 0
690 0.345 0 worm_000690.vtu 0
700 0.35 0 worm_000700.vtu 0
710 0.355 0 worm_000710.vtu 0
720 0.36 0 worm_000720.vtu 0
730 0.365 0 worm_000730.vtu 0
740 0.37 0 worm_000740.vtu 0
750 0.375 0 worm_000750.vtu 0
760 0.38 0 worm_000760.vtu 0
770 0.385 0 worm_000770.vtu 0
780 0.39 0 worm_000780.vtu 0
790 0.395 0 worm_000790.vtu 0
800 0.4 0 worm_000800.vtu 0
810 0.405 0 worm_000810.vtu 0
820 0.41 0 worm_000820.vtu 0
830 0.415 0 worm_000830.vtu 0
840 0.42 0 worm_000840.vtu 0
850 0.425 0 worm_000850.vtu 0
860 0.43 0 worm_000860.vtu 0
870 0.435 0 worm_000870.vtu 0
880 0.44 0 worm_000880.vtu 0
890 0.445 0 worm_000890.vtu 0
900 0.45 0 worm_000900.vtu 0
910 0.455 0 worm_000910.vtu 0
920 0.46 0 worm_000920.vtu 0
930 0.465 0 worm_000930.vtu 0
940 0.47 0 worm_000940.vtu 0
950 0.475 0 worm_000950.vtu 0
